model,BRITS,BRITS,CSDI,CSDI,GPVAE,GPVAE,SAITS,SAITS
,MAE,RMSE,MAE,RMSE,MAE,RMSE,MAE,RMSE
Feature,,,,,,,,
H2OC (mmol/mol),0.0825011783180451,0.1958935197896413,0.0771626390502655,0.1401010317038639,1.186473295859053,1.6932405842567513,0.1397671200118125,0.1949719027795681
OT,13.642351748122396,303.4184407239616,11.864279599840142,311.24083924005566,20.920018769284752,280.65987311436584,15.152252752982834,316.64939459267515
OVERALL (Average),7.556191518614702,97.19336265685568,7.611708181028637,102.19365359620272,26.116890493899376,118.50295463939204,7.331809880534586,99.52637590431084
PAR (�mol/m�/s),24.144211624916228,68.84015844849178,24.829180447851847,79.04953961322074,141.1647554671066,216.71335203747307,29.683365842221633,72.99233642721207
SWDR (W/m�),13.40479501745066,36.40328686091395,13.289442895232575,41.41692861308445,71.78588582121915,111.11687572815174,15.758033781318392,38.45336496381585
T (degC),0.1484516139600959,0.356497451563903,0.1473342473875577,0.2120701754530776,2.0255011925008235,2.6946438261881855,0.2625714099409049,0.3353125463065903
Tdew (degC),0.2238326954157905,0.4198359345291933,0.1150522496998103,0.1813472814216413,1.791110278392679,2.488881917061184,0.2203967811254396,0.2952844598455114
Tlog (degC),0.3751082727471361,0.7498572998959644,0.2349945858740602,0.339909912903042,2.276203557807808,2.9966635990818,0.3993462037287105,0.5562071359804598
Tpot (K),0.1514022264044397,0.3578361441609525,0.1520059803952456,0.218719990286373,2.1006825921068275,2.789426119556941,0.2525709585028166,0.3264077085480884
VPact (mbar),0.088154600577681,0.2008562137166108,0.0744156561276002,0.1347052263618738,1.176006519947196,1.6737433354210287,0.1367367185478372,0.1902149281548286
VPdef (mbar),0.1589301477009371,0.3831515976685354,0.1900008039335369,0.3313084731182266,1.7030335581240452,2.9230117634855723,0.2185196146700966,0.354879463883365
VPmax (mbar),0.1578764811887638,0.3867245145790298,0.154317750596232,0.2685740939536281,2.0667132061127194,3.358269844402701,0.2475455776946219,0.3642323708899445
max. PAR (�mol/m�/s),56.420686794275426,303.0683870337888,50.33746206180003,316.9693499804069,174.94907574151216,370.2546860408003,46.847833221513376,303.11198142929555
max. wv (m/s),0.6473036712385616,0.96453320459883,0.7059648727162949,1.0071625020590944,1.682644470927382,2.1570995744863515,0.5681677076069288,0.8176856558470729
p (mbar),0.4249198238527172,0.8961002562090926,0.1827617275395913,0.2858305514443492,6.252182972403478,8.021247468156202,0.4059649581209023,0.592536328627709
rain (mm),0.0111903226519098,0.1184162445110611,0.0106075005092155,0.1142234079924672,0.0141500598524575,0.1186718017762925,0.0088121581943023,0.1060652276092958
raining (s),15.037303921328853,58.0592533811249,17.783251470695227,81.23982977621873,32.71546015508736,104.4003781848361,12.243447782312822,61.506110607834614
rh (%),1.1173744223883293,1.7896346658616953,0.9299157329418262,1.3033445309377685,8.448477252915616,10.37371063227464,1.077127074134167,1.4410607302415783
rho (g/m**3),0.82089216369343,1.8676410859154249,0.9024182652024924,1.2558965328093297,12.069042903064728,15.597069025001822,1.1213991696607544,1.4405846307759491
sh (g/kg),0.0516732778935744,0.1237045941205058,0.0489925835580381,0.0890905403406713,0.7449032605940082,1.0636027878449332,0.0874139400793752,0.1227014236392152
wd (deg),31.00481005996106,55.191450889726475,37.22194016719402,73.65593721558501,60.83330319918097,79.72483386063041,28.550577227907883,57.513899228156625
wv (m/s),0.5917194442422977,45.11361263445979,0.6208198931754473,45.23697459627246,2.6073167033578444,45.42259998469779,0.6113990991390948,45.11307193590214
