model,BRITS,BRITS,CSDI,CSDI,GPVAE,GPVAE,SAITS,SAITS
,MAE,RMSE,MAE,RMSE,MAE,RMSE,MAE,RMSE
Feature,,,,,,,,
H2OC (mmol/mol),0.033906514655587,0.1186270921945978,0.0757071184077883,0.1554781456420662,0.8702399868558665,1.267615051828649,0.1594201256342919,0.2138997446351389
OT,11.539096347078951,299.96791521607327,11.64227641023172,308.64072799954596,19.087265240212744,232.10171866684684,14.90315436297449,316.24291085087725
OVERALL (Average),6.029528753232307,95.68279676735006,6.615557585703795,101.01664361781413,23.41064161213485,107.47245762921372,6.615873978621561,98.77667691345754
PAR (�mol/m�/s),15.59014899676991,50.86356864942458,15.923264652859514,57.414255743060465,124.08503518707045,188.76288165858557,26.047270938632305,60.34027716543911
SWDR (W/m�),8.57987404624598,26.88115160859232,8.581352817307849,30.15130315855042,63.13709900548747,96.85009557615774,13.692818775806694,31.820746793889732
T (degC),0.0603350248007576,0.2209166670390138,0.1228263565824649,0.1805658768726886,1.4203768893723705,1.9621335644033593,0.3157963463681994,0.3861167130724703
Tdew (degC),0.1319067743699023,0.3111250059394717,0.1113644324324816,0.1825201464920035,1.3688570767541026,1.982481389510587,0.2376078208907192,0.2934651729476419
Tlog (degC),0.1591382308964161,0.5469537589745234,0.2120436642962889,0.3050562833039609,1.7277493690525,2.292389249305178,0.3233263424081392,0.4347545275993347
Tpot (K),0.0666789864174267,0.2198453859504315,0.1290231930915177,0.189531493595175,1.4203987949576902,1.9847989649130808,0.3045079911187788,0.3760890832862716
VPact (mbar),0.0401574111705744,0.1252549280388943,0.0733249444175607,0.1496081935470505,0.8679182318129063,1.25893704288622,0.1536014662230186,0.204760977941116
VPdef (mbar),0.0692826544150481,0.2642287669728278,0.1625338445127248,0.2854565425245903,1.3320509552897155,2.252821057591969,0.2224887370729713,0.3653211552598344
VPmax (mbar),0.0681637480932687,0.2455134071059712,0.1327040276663408,0.2461473690970522,1.4050690783528528,2.4064502108698984,0.3025262181569935,0.4363853250785344
max. PAR (�mol/m�/s),47.661203524027705,302.6773528823261,45.367769284627634,318.4070100232412,155.48234253249277,354.04677477984245,41.42170151404069,304.0426898709302
max. wv (m/s),0.5618643120213498,0.8443011370937804,0.6448192944593807,0.9245141442382424,1.627746690613996,2.1138448463913035,0.524141717133558,0.7438253701315517
p (mbar),0.1878876334327383,0.6357254346490189,0.1944545291304673,0.3017703864502,5.855615925241755,7.5651304072435,0.3247777180661066,0.4226036555207026
rain (mm),0.0108583042648196,0.1181338228813231,0.01038892493826,0.1129343753704865,0.0136534936357142,0.1115903352860912,0.0081208173841292,0.1008817449060873
raining (s),12.678412239295763,51.7853339588849,17.051622813470196,78.92119229893699,31.920384014539977,99.168796830649,10.499792546872252,53.40731136415325
rh (%),0.6682351918789811,1.2652825577622508,0.8060478940520706,1.122360891799606,7.236562364188687,8.992160005698857,0.9600457415508482,1.2214454943490425
rho (g/m**3),0.4034623458508859,1.1697896158536547,0.8031387084498188,1.1130655286069282,9.00941149107718,11.952643629151842,1.3266339127672104,1.6076305638922237
sh (g/kg),0.0216528975321701,0.0754308395743123,0.0474903491254547,0.0973955079896123,0.5430303399969757,0.7930913940106483,0.0995237118964486,0.1343649249573121
wd (deg),27.588937797611457,53.23774394714067,36.28617445929997,73.21340633233967,60.58274249231708,79.35844509764053,26.57694102207799,55.702957701397885
wv (m/s),0.5131434327470923,43.02605805672664,0.5708555818348235,43.25623734040644,2.6850052564320213,43.31773912757831,0.5520965972964769,43.02512476344494
