MAE,RMSE,Missing_Rate,model
6.615873978621561,98.77667691345754,0.3,SAITS
23.41064161213485,107.47245762921372,0.3,GPVAE
6.615557585703795,101.01664361781413,0.3,CSDI
6.029528753232307,95.68279676735006,0.3,BRITS
7.331809880534586,99.52637590431084,0.5,SAITS
26.116890493899376,118.50295463939204,0.5,GPVAE
7.611708181028637,102.19365359620272,0.5,CSDI
7.556191518614702,97.19336265685568,0.5,BRITS
11.041241060766652,105.95722691901526,0.7,SAITS
31.876160313927265,135.86987080249733,0.7,GPVAE
9.129497727729548,104.21835192434904,0.7,CSDI
11.657763386109762,102.07478032051893,0.7,BRITS
