Feature,MAE,RMSE,Missing_Rate
OVERALL (Average),11.041241060766653,105.95722691901526,0.7
p (mbar),0.9606269111932262,1.6103541179348893,0.7
T (degC),0.7789784742849831,1.0438748144283319,0.7
Tpot (K),0.8069517199479356,1.0800344518202194,0.7
Tdew (degC),0.7526656924053456,1.0190262398316856,0.7
rh (%),1.9530299905819724,2.9983918090945254,0.7
VPmax (mbar),0.7550972155458379,1.1880885122329579,0.7
VPact (mbar),0.4664900524987535,0.6709342382718472,0.7
VPdef (mbar),0.49173656201533833,0.9425332777535168,0.7
sh (g/kg),0.3045014291636167,0.43576436197623575,0.7
H2OC (mmol/mol),0.46791922629586746,0.6724717747983666,0.7
rho (g/m**3),3.9146535731362215,5.188272894329319,0.7
wv (m/s),0.688887867385643,43.88767168601829,0.7
max. wv (m/s),0.7282604156496331,1.076539565379265,0.7
wd (deg),33.55711411022432,61.0876117755681,0.7
rain (mm),0.010329119503321335,0.11479957789064764,0.7
raining (s),16.334032214079567,77.75790281156459,0.7
SWDR (W/m�),27.26474296068487,64.29034542170365,0.7
PAR (�mol/m�/s),52.77142835954515,123.8795617085526,0.7
max. PAR (�mol/m�/s),71.5954720443102,321.1934839932682,0.7
Tlog (degC),0.8710656118588002,1.2481390053285268,0.7
OT,16.40834381632214,318.48542024236826,0.7
