Feature,MAE,RMSE,Missing_Rate
OVERALL (Average),6.029528753232307,95.68279676735006,0.3
p (mbar),0.18788763343273834,0.6357254346490189,0.3
T (degC),0.06033502480075764,0.22091666703901383,0.3
Tpot (K),0.06667898641742674,0.2198453859504315,0.3
Tdew (degC),0.13190677436990234,0.3111250059394717,0.3
rh (%),0.6682351918789811,1.2652825577622508,0.3
VPmax (mbar),0.06816374809326871,0.2455134071059712,0.3
VPact (mbar),0.040157411170574475,0.1252549280388943,0.3
VPdef (mbar),0.06928265441504819,0.2642287669728278,0.3
sh (g/kg),0.021652897532170128,0.07543083957431236,0.3
H2OC (mmol/mol),0.03390651465558703,0.11862709219459788,0.3
rho (g/m**3),0.4034623458508859,1.1697896158536547,0.3
wv (m/s),0.5131434327470923,43.02605805672664,0.3
max. wv (m/s),0.5618643120213498,0.8443011370937804,0.3
wd (deg),27.588937797611457,53.23774394714067,0.3
rain (mm),0.010858304264819688,0.11813382288132313,0.3
raining (s),12.678412239295763,51.7853339588849,0.3
SWDR (W/m�),8.57987404624598,26.88115160859232,0.3
PAR (�mol/m�/s),15.59014899676991,50.86356864942458,0.3
max. PAR (�mol/m�/s),47.661203524027705,302.6773528823261,0.3
Tlog (degC),0.1591382308964161,0.5469537589745234,0.3
OT,11.539096347078953,299.96791521607327,0.3
