Feature,MAE,RMSE,Missing_Rate
OVERALL (Average),23.410641612134846,107.47245762921371,0.3
p (mbar),5.855615925241755,7.5651304072435,0.3
T (degC),1.4203768893723705,1.9621335644033593,0.3
Tpot (K),1.4203987949576902,1.9847989649130806,0.3
Tdew (degC),1.3688570767541026,1.982481389510587,0.3
rh (%),7.236562364188687,8.992160005698857,0.3
VPmax (mbar),1.4050690783528528,2.4064502108698984,0.3
VPact (mbar),0.8679182318129063,1.25893704288622,0.3
VPdef (mbar),1.3320509552897157,2.252821057591969,0.3
sh (g/kg),0.5430303399969757,0.7930913940106483,0.3
H2OC (mmol/mol),0.8702399868558665,1.267615051828649,0.3
rho (g/m**3),9.00941149107718,11.952643629151842,0.3
wv (m/s),2.6850052564320213,43.31773912757831,0.3
max. wv (m/s),1.627746690613996,2.1138448463913035,0.3
wd (deg),60.58274249231708,79.35844509764053,0.3
rain (mm),0.013653493635714286,0.11159033528609122,0.3
raining (s),31.920384014539977,99.16879683064899,0.3
SWDR (W/m�),63.13709900548747,96.85009557615774,0.3
PAR (�mol/m�/s),124.08503518707043,188.76288165858557,0.3
max. PAR (�mol/m�/s),155.48234253249277,354.04677477984245,0.3
Tlog (degC),1.7277493690524999,2.292389249305178,0.3
OT,19.087265240212744,232.10171866684684,0.3
