Feature,MAE,RMSE,Missing_Rate
OVERALL (Average),7.6117081810286376,102.19365359620272,0.5
p (mbar),0.18276172753959133,0.28583055144434927,0.5
T (degC),0.14733424738755774,0.2120701754530776,0.5
Tpot (K),0.15200598039524568,0.21871999028637307,0.5
Tdew (degC),0.11505224969981037,0.18134728142164136,0.5
rh (%),0.9299157329418262,1.3033445309377685,0.5
VPmax (mbar),0.154317750596232,0.26857409395362813,0.5
VPact (mbar),0.07441565612760023,0.13470522636187385,0.5
VPdef (mbar),0.1900008039335369,0.3313084731182266,0.5
sh (g/kg),0.048992583558038136,0.08909054034067136,0.5
H2OC (mmol/mol),0.0771626390502655,0.14010103170386398,0.5
rho (g/m**3),0.9024182652024924,1.2558965328093297,0.5
wv (m/s),0.6208198931754473,45.23697459627246,0.5
max. wv (m/s),0.7059648727162949,1.0071625020590944,0.5
wd (deg),37.22194016719402,73.65593721558501,0.5
rain (mm),0.010607500509215589,0.11422340799246722,0.5
raining (s),17.783251470695227,81.23982977621873,0.5
SWDR (W/m�),13.289442895232575,41.41692861308445,0.5
PAR (�mol/m�/s),24.829180447851847,79.04953961322074,0.5
max. PAR (�mol/m�/s),50.33746206180003,316.9693499804069,0.5
Tlog (degC),0.2349945858740602,0.339909912903042,0.5
OT,11.864279599840142,311.24083924005566,0.5
