Feature,MAE,RMSE,Missing_Rate
OVERALL (Average),7.331809880534586,99.52637590431085,0.5
p (mbar),0.4059649581209023,0.592536328627709,0.5
T (degC),0.26257140994090494,0.33531254630659035,0.5
Tpot (K),0.25257095850281663,0.3264077085480884,0.5
Tdew (degC),0.22039678112543964,0.29528445984551144,0.5
rh (%),1.077127074134167,1.4410607302415783,0.5
VPmax (mbar),0.24754557769462193,0.36423237088994453,0.5
VPact (mbar),0.13673671854783728,0.19021492815482868,0.5
VPdef (mbar),0.21851961467009665,0.35487946388336505,0.5
sh (g/kg),0.0874139400793752,0.1227014236392152,0.5
H2OC (mmol/mol),0.1397671200118125,0.19497190277956813,0.5
rho (g/m**3),1.1213991696607544,1.4405846307759491,0.5
wv (m/s),0.6113990991390948,45.11307193590214,0.5
max. wv (m/s),0.5681677076069288,0.8176856558470729,0.5
wd (deg),28.550577227907883,57.513899228156625,0.5
rain (mm),0.008812158194302333,0.10606522760929585,0.5
raining (s),12.243447782312822,61.506110607834614,0.5
SWDR (W/m�),15.758033781318392,38.45336496381585,0.5
PAR (�mol/m�/s),29.683365842221633,72.99233642721207,0.5
max. PAR (�mol/m�/s),46.847833221513376,303.11198142929555,0.5
Tlog (degC),0.39934620372871055,0.5562071359804598,0.5
OT,15.152252752982834,316.64939459267515,0.5
