Feature,MAE,RMSE,Missing_Rate
OVERALL (Average),31.876160313927265,135.86987080249733,0.7
p (mbar),6.733928117816445,8.608913006137108,0.7
T (degC),3.3083812413521954,4.1231001575156485,0.7
Tpot (K),3.4353286007384742,4.275884974691974,0.7
Tdew (degC),2.7355715891864096,3.511582395965723,0.7
rh (%),10.545600658704787,12.831324214477327,0.7
VPmax (mbar),3.2643920163212825,4.795329628166642,0.7
VPact (mbar),1.811140634028774,2.3938708286511217,0.7
VPdef (mbar),2.328997409374339,3.8663575514250224,0.7
sh (g/kg),1.1528813137810148,1.5250154536416263,0.7
H2OC (mmol/mol),1.8324883418252271,2.4234946435720435,0.7
rho (g/m**3),17.772087139867537,22.24189275866448,0.7
wv (m/s),2.565831346647934,44.1358449027938,0.7
max. wv (m/s),1.7778266372609528,2.2408152720989625,0.7
wd (deg),61.225659211982915,80.23608543927175,0.7
rain (mm),0.014049593575136014,0.1226524955462357,0.7
raining (s),32.66180653259804,108.92975972811584,0.7
SWDR (W/m�),91.10621859541534,140.82391946655918,0.7
PAR (�mol/m�/s),179.19845896983944,275.302443812245,0.7
max. PAR (�mol/m�/s),220.70018554420642,419.09370443735486,0.7
Tlog (degC),3.4950012845017087,4.416595221423344,0.7
OT,21.775903984884664,308.83322582382164,0.7
