Feature,MAE,RMSE,Missing_Rate
OVERALL (Average),11.657763386109762,102.07478032051893,0.7
p (mbar),1.2671124947950718,1.9587026672111427,0.7
T (degC),0.5283804605125844,0.797671008963564,0.7
Tpot (K),0.5353840998189415,0.8091752516976257,0.7
Tdew (degC),0.5835334197251506,0.8117203514705931,0.7
rh (%),2.726441288264894,3.5684477367664718,0.7
VPmax (mbar),0.4873608104426402,0.7799102964777481,0.7
VPact (mbar),0.28578786586338595,0.43531385981329096,0.7
VPdef (mbar),0.45489741506106857,0.7239960700580224,0.7
sh (g/kg),0.175039933026875,0.2735690978098584,0.7
H2OC (mmol/mol),0.28127850778471714,0.43589236232934836,0.7
rho (g/m**3),2.7857908594294343,4.2258452946767155,0.7
wv (m/s),0.7350111178904648,43.88769995067212,0.7
max. wv (m/s),0.8687878375024976,1.2669837651311124,0.7
wd (deg),38.74489703078105,60.01896987718711,0.7
rain (mm),0.011809784109757296,0.1196074197817555,0.7
raining (s),19.01938175106655,70.56433906476319,0.7
SWDR (W/m�),25.276293055137778,51.99079904450138,0.7
PAR (�mol/m�/s),46.52671848885608,98.59665070523873,0.7
max. PAR (�mol/m�/s),84.97216372571586,316.2882900222246,0.7
Tlog (degC),1.079342281983495,1.5469395470847063,0.7
OT,17.48736753733913,309.60177921872247,0.7
