Feature,MAE,RMSE,Missing_Rate
OVERALL (Average),6.615557585703795,101.01664361781413,0.3
p (mbar),0.1944545291304673,0.3017703864502,0.3
T (degC),0.1228263565824649,0.18056587687268869,0.3
Tpot (K),0.1290231930915177,0.18953149359517507,0.3
Tdew (degC),0.11136443243248167,0.18252014649200352,0.3
rh (%),0.8060478940520706,1.122360891799606,0.3
VPmax (mbar),0.1327040276663408,0.2461473690970522,0.3
VPact (mbar),0.07332494441756075,0.14960819354705052,0.3
VPdef (mbar),0.16253384451272485,0.2854565425245903,0.3
sh (g/kg),0.04749034912545474,0.09739550798961238,0.3
H2OC (mmol/mol),0.07570711840778836,0.15547814564206627,0.3
rho (g/m**3),0.8031387084498188,1.1130655286069282,0.3
wv (m/s),0.5708555818348235,43.25623734040644,0.3
max. wv (m/s),0.6448192944593807,0.9245141442382425,0.3
wd (deg),36.28617445929997,73.21340633233967,0.3
rain (mm),0.01038892493826007,0.11293437537048652,0.3
raining (s),17.051622813470196,78.92119229893699,0.3
SWDR (W/m�),8.581352817307849,30.15130315855042,0.3
PAR (�mol/m�/s),15.923264652859514,57.414255743060465,0.3
max. PAR (�mol/m�/s),45.367769284627634,318.4070100232412,0.3
Tlog (degC),0.2120436642962889,0.30505628330396095,0.3
OT,11.642276410231721,308.64072799954596,0.3
